"sample_year","cruise_id","event_code","station_id","master_station_name","gear","gear_performance","tow_type","nbs_strata","oceanographic_domain","large_marine_ecosystem","region","haul_date","eq_time","eq_latitude","eq_longitude","gear_in_time","gear_in_latitude","gear_in_longitude","gear_out_time","gear_out_latitude","gear_out_longitude","haulback_time","haulback_latitude","haulback_longitude","effort","effort_units","tow_duration","species_tsn","common_name","scientific_name","lhs_code","total_catch_number","total_catch_weight","event_notes","catch_notes"
2003,"SS0301",3,20030101060,"59.25-165","CAN","S","S",0,1,"Bering Sea","SEBS",2003-09-07,2003-09-07 04:04:00,59.2578,-164.9752,NA,NA,NA,NA,NA,NA,2003-09-07 04:34:00,59.2348,-165.0332,0.258,"km2",30,934083,"Pollock","Gadus chalcogrammus","A0",1,0,NA,"no wt"
2003,"SS0301",3,20030101064,"58.25-164","CAN","S","S",0,1,"Bering Sea","SEBS",2003-09-07,2003-09-07 23:07:00,58.2733,-163.892,NA,NA,NA,NA,NA,NA,2003-09-07 23:37:00,58.2388,-164.0042,0.4769,"km2",30,934083,"Pollock","Gadus chalcogrammus","A0",1,9,"Trawl distance seems long (7.6km) start and stop coordinates, time, matches original logbook.",NA
2003,"SS0301",3,20030101065,"58-164","CAN","S","S",0,1,"Bering Sea","SEBS",2003-09-08,2003-09-08 01:36:00,58.0188,-163.995,NA,NA,NA,NA,NA,NA,2003-09-08 02:06:00,57.9843,-164.0007,0.2451,"km2",30,934083,"Pollock","Gadus chalcogrammus","A0",1323,2263,NA,NA
2003,"SS0301",3,20030101004,"64-166.5","CAN","S","S",8,1,"Bering Sea","NBS",2003-08-22,2003-08-22 18:04:00,63.9988,-166.4883,NA,NA,NA,NA,NA,NA,2003-08-22 18:34:00,64.01,-166.5762,0.2856,"km2",30,934083,"Pollock","Gadus chalcogrammus","A0",20,14,"Head rope stayed below surface ~ 5 min after wires were out. 200 Humpy Shrimp in catch.","total wt calculated from subsample"
2003,"SS0301",3,20030101029,"59.25-166","CAN","S","S",0,1,"Bering Sea","SEBS",2003-09-01,2003-09-01 06:38:00,59.2597,-166.0175,NA,NA,NA,NA,NA,NA,2003-09-01 07:08:00,59.233,-165.9667,0.2515,"km2",30,934083,"Pollock","Gadus chalcogrammus","A0",60,55,"Mixed coastal domain. Twilight. Surface salinity and temp taken from TSG. Start leg 2.","Alan Spiner"
2003,"SS0301",3,20030101030,"59-166","CAN","S","S",0,1,"Bering Sea","SEBS",2003-09-01,2003-09-01 15:46:00,59.0175,-166.0252,NA,NA,NA,NA,NA,NA,2003-09-01 16:16:00,58.99,-165.9852,0.2348,"km2",30,934083,"Pollock","Gadus chalcogrammus","A0",24,55,NA,NA
2003,"SS0301",3,20030101031,"58.75-166","CAN","S","S",0,1,"Bering Sea","SEBS",2003-09-01,2003-09-01 18:24:00,58.7682,-166.03,NA,NA,NA,NA,NA,NA,2003-09-01 18:54:00,58.7437,-165.9878,0.2318,"km2",30,934083,"Pollock","Gadus chalcogrammus","A0",1221,2840,NA,NA
2003,"SS0301",3,20030101032,"58.5-166","CAN","S","S",0,1,"Bering Sea","SEBS",2003-09-01,2003-09-01 21:09:00,58.5082,-166.0162,NA,NA,NA,NA,NA,NA,2003-09-01 21:39:00,58.4802,-165.9588,0.287,"km2",30,934083,"Pollock","Gadus chalcogrammus","A0",2635,3048,NA,NA
2003,"SS0301",3,20030101033,"58.25-166","CAN","S","S",0,1,"Bering Sea","SEBS",2003-09-01,2003-09-01 23:54:00,58.2523,-166.0055,NA,NA,NA,NA,NA,NA,2003-09-02 00:24:00,58.2197,-165.9477,0.3038,"km2",30,934083,"Pollock","Gadus chalcogrammus","A0",30,22,NA,NA
2003,"SS0301",3,20030101034,"58-166","CAN","S","S",0,1,"Bering Sea","SEBS",2003-09-02,2003-09-02 02:23:00,58.0105,-166.032,NA,NA,NA,NA,NA,NA,2003-09-02 02:53:00,57.9898,-165.969,0.2716,"km2",30,934083,"Pollock","Gadus chalcogrammus","A0",2,12,NA,NA
